BioSample_s	Experiment_s	InsertSize_l	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMEA4385622	ERX1670471	400	12872	5486	ERR1599904	ERS1297071	Kob_M27	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
SAMEA4385623	ERX1670472	400	13839	5768	ERR1599905	ERS1297072	Kob_M28	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
SAMEA4385624	ERX1670473	400	12606	5238	ERR1599906	ERS1297073	Qar_L31	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
SAMEA4385625	ERX1670474	400	13091	5366	ERR1599907	ERS1297074	Qar_L33	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
SAMEA4385626	ERX1670475	400	13393	5530	ERR1599908	ERS1297075	Qar_L35	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
SAMEA4385627	ERX1670476	500	4858	3390	ERR1599909	ERS1297076	Ran_M1	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
SAMEA4385627	ERX1670477	500	5051	3569	ERR1599910	ERS1297076	Ran_M1	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
SAMEA4385628	ERX1670478	500	4784	3323	ERR1599911	ERS1297077	Ran_M3	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
SAMEA4385628	ERX1670479	500	5119	3599	ERR1599912	ERS1297077	Ran_M3	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
SAMEA4385629	ERX1670480	500	4925	3504	ERR1599913	ERS1297078	Ran_M5	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
SAMEA4385629	ERX1670481	500	5076	3618	ERR1599914	ERS1297078	Ran_M5	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
